date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,writeError,pps,ppsLabel
2018-10-01_14:04:13,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85032/14,8503,pps
2018-10-01_14:04:24,0.00-10.00,sec,238,MBytes,200,Mbits/sec,170095/10,17006,pps
2018-10-01_14:04:35,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255092/10,25510,pps
2018-10-01_14:04:46,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340181/10,34013,pps
2018-10-01_14:04:57,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425177/10,42516,pps
2018-10-01_14:05:08,0.00-10.00,sec,715,MBytes,600,Mbits/sec,510214/10,51020,pps
2018-10-01_14:05:19,0.00-10.00,sec,835,MBytes,700,Mbits/sec,595507/10,59523,pps
2018-10-01_14:05:30,0.00-10.00,sec,954,MBytes,800,Mbits/sec,680258/10,68027,pps
2018-10-01_14:05:41,0.00-10.00,sec,1.05,GBytes,900,Mbits/sec,765388/10,76530,pps
2018-10-01_14:05:52,0.00-10.00,sec,1.11,GBytes,956,Mbits/sec,813227/6216415,81325,pps
