date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,writeError,pps,ppsLabel
2018-10-01_15:38:18,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85031/14,8503,pps
2018-10-01_15:38:29,0.00-10.00,sec,238,MBytes,200,Mbits/sec,170123/10,17006,pps
2018-10-01_15:38:40,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255213/10,25510,pps
2018-10-01_15:38:51,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340199/10,34013,pps
2018-10-01_15:39:02,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425296/10,42516,pps
2018-10-01_15:39:12,0.00-10.00,sec,715,MBytes,600,Mbits/sec,510192/10,51020,pps
2018-10-01_15:39:24,0.00-10.00,sec,835,MBytes,700,Mbits/sec,595445/10,59523,pps
2018-10-01_15:39:34,0.00-10.00,sec,954,MBytes,800,Mbits/sec,680256/10,68027,pps
2018-10-01_15:39:46,0.00-10.00,sec,1.05,GBytes,900,Mbits/sec,765641/10,76530,pps
2018-10-01_15:39:56,0.00-10.00,sec,1.11,GBytes,956,Mbits/sec,813321/5880656,81305,pps
