date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,writeError,pps,ppsLabel
2018-10-01_15:11:50,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85030/14,8503,pps
2018-10-01_15:12:01,0.00-10.00,sec,238,MBytes,200,Mbits/sec,170076/10,17006,pps
2018-10-01_15:12:12,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255209/10,25510,pps
2018-10-01_15:12:23,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340148/10,34013,pps
2018-10-01_15:12:34,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425201/10,42516,pps
2018-10-01_15:12:45,0.00-10.00,sec,715,MBytes,600,Mbits/sec,510291/10,51020,pps
