date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,writeError,pps,ppsLabel
2018-10-01_14:38:41,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85031/10,8503,pps
2018-10-01_14:38:53,0.00-10.00,sec,238,MBytes,200,Mbits/sec,170070/10,17006,pps
2018-10-01_14:39:03,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255217/10,25510,pps
2018-10-01_14:39:15,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340225/10,34013,pps
2018-10-01_14:39:25,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425359/10,42516,pps
2018-10-01_14:39:37,0.00-10.00,sec,715,MBytes,600,Mbits/sec,510256/10,51020,pps
2018-10-01_14:39:48,0.00-10.00,sec,835,MBytes,700,Mbits/sec,595356/10,59523,pps
2018-10-01_14:39:59,0.00-10.00,sec,954,MBytes,800,Mbits/sec,680248/10,68027,pps
2018-10-01_14:40:10,0.00-10.00,sec,1.05,GBytes,900,Mbits/sec,765477/10,76530,pps
2018-10-01_14:40:21,0.00-10.00,sec,1.11,GBytes,956,Mbits/sec,813312/6115833,81331,pps
