date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,writeError,pps,ppsLabel
2018-10-01_14:37:26,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85031/15,8503,pps
2018-10-01_14:37:37,0.00-10.00,sec,239,MBytes,200,Mbits/sec,170145/10,17006,pps
2018-10-01_14:37:48,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255157/10,25510,pps
2018-10-01_14:37:59,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340229/10,34013,pps
2018-10-01_14:38:10,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425284/10,42516,pps
2018-10-01_14:38:21,0.00-10.00,sec,716,MBytes,600,Mbits/sec,510387/10,51020,pps
