date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,writeError,pps,ppsLabel
2018-10-01_14:54:17,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85030/15,8503,pps
2018-10-01_14:54:27,0.00-10.00,sec,238,MBytes,200,Mbits/sec,170060/10,17006,pps
2018-10-01_14:54:39,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255155/10,25510,pps
2018-10-01_14:54:49,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340271/10,34013,pps
2018-10-01_14:55:01,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425213/10,42516,pps
2018-10-01_14:55:11,0.00-10.00,sec,716,MBytes,600,Mbits/sec,510381/10,51020,pps
2018-10-01_14:55:23,0.00-10.00,sec,835,MBytes,700,Mbits/sec,595322/10,59523,pps
2018-10-01_14:55:33,0.00-10.00,sec,954,MBytes,800,Mbits/sec,680455/10,68027,pps
2018-10-01_14:55:45,0.00-10.00,sec,1.05,GBytes,900,Mbits/sec,765635/10,76530,pps
2018-10-01_14:55:55,0.00-10.00,sec,1.11,GBytes,956,Mbits/sec,813188/5765572,81319,pps
