date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,writeError,pps,ppsLabel
2018-10-01_14:45:57,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85032/15,8503,pps
2018-10-01_14:46:08,0.00-10.00,sec,238,MBytes,200,Mbits/sec,170062/10,17006,pps
2018-10-01_14:46:19,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255198/10,25510,pps
2018-10-01_14:46:30,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340212/10,34013,pps
2018-10-01_14:46:41,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425300/10,42516,pps
2018-10-01_14:46:52,0.00-10.00,sec,715,MBytes,600,Mbits/sec,510240/10,51020,pps
2018-10-01_14:47:03,0.00-10.00,sec,835,MBytes,700,Mbits/sec,595377/10,59523,pps
2018-10-01_14:47:13,0.00-10.00,sec,954,MBytes,800,Mbits/sec,680362/10,68026,pps
2018-10-01_14:47:25,0.00-10.00,sec,1.05,GBytes,900,Mbits/sec,765645/10,76530,pps
2018-10-01_14:47:35,0.00-10.00,sec,1.11,GBytes,956,Mbits/sec,813279/5921458,81329,pps
