date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,writeError,pps,ppsLabel
2018-10-01_15:13:07,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85030/10,8503,pps
2018-10-01_15:13:18,0.00-10.00,sec,238,MBytes,200,Mbits/sec,170075/10,17006,pps
2018-10-01_15:13:29,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255125/10,25510,pps
2018-10-01_15:13:40,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340121/10,34013,pps
2018-10-01_15:13:51,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425194/10,42516,pps
2018-10-01_15:14:02,0.00-10.00,sec,715,MBytes,600,Mbits/sec,510253/10,51020,pps
2018-10-01_15:14:13,0.00-10.00,sec,834,MBytes,700,Mbits/sec,595245/10,59523,pps
2018-10-01_15:14:24,0.00-10.00,sec,954,MBytes,800,Mbits/sec,680565/10,68027,pps
2018-10-01_15:14:35,0.00-10.00,sec,1.05,GBytes,900,Mbits/sec,765459/10,76530,pps
2018-10-01_15:14:46,0.00-10.00,sec,1.11,GBytes,956,Mbits/sec,813303/5810325,81334,pps
