date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,writeError,pps,ppsLabel
2018-10-01_15:08:33,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85031/5,8503,pps
2018-10-01_15:08:45,0.00-10.00,sec,238,MBytes,200,Mbits/sec,170068/10,17006,pps
2018-10-01_15:08:55,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255135/10,25510,pps
2018-10-01_15:09:07,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340130/10,34013,pps
2018-10-01_15:09:17,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425256/10,42516,pps
2018-10-01_15:09:29,0.00-10.00,sec,715,MBytes,600,Mbits/sec,510193/10,51020,pps
2018-10-01_15:09:39,0.00-10.00,sec,835,MBytes,700,Mbits/sec,595299/10,59523,pps
2018-10-01_15:09:51,0.00-10.00,sec,954,MBytes,800,Mbits/sec,680526/10,68027,pps
2018-10-01_15:10:02,0.00-10.00,sec,1.05,GBytes,900,Mbits/sec,765632/10,76530,pps
2018-10-01_15:10:13,0.00-10.00,sec,1.11,GBytes,956,Mbits/sec,813174/5946049,81321,pps
