date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,writeError,pps,ppsLabel
2018-10-01_15:31:12,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85030/15,8503,pps
2018-10-01_15:31:22,0.00-10.00,sec,238,MBytes,200,Mbits/sec,170088/10,17006,pps
2018-10-01_15:31:34,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255196/10,25510,pps
2018-10-01_15:31:44,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340287/10,34013,pps
2018-10-01_15:31:56,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425161/10,42516,pps
2018-10-01_15:32:06,0.00-10.00,sec,715,MBytes,600,Mbits/sec,510287/10,51020,pps
2018-10-01_15:32:18,0.00-10.00,sec,835,MBytes,700,Mbits/sec,595396/10,59523,pps
2018-10-01_15:32:28,0.00-10.00,sec,954,MBytes,800,Mbits/sec,680432/10,68027,pps
2018-10-01_15:32:40,0.00-10.00,sec,1.05,GBytes,900,Mbits/sec,765636/10,76530,pps
2018-10-01_15:32:50,0.00-10.00,sec,1.11,GBytes,956,Mbits/sec,813397/5676266,81312,pps
