date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,writeError,pps,ppsLabel
2018-10-01_14:09:45,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85031/14,8503,pps
2018-10-01_14:09:56,0.00-10.00,sec,238,MBytes,200,Mbits/sec,170095/10,17006,pps
2018-10-01_14:10:07,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255125/10,25510,pps
2018-10-01_14:10:18,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340264/10,34013,pps
2018-10-01_14:10:29,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425329/10,42516,pps
2018-10-01_14:10:40,0.00-10.00,sec,715,MBytes,600,Mbits/sec,510293/10,51020,pps
2018-10-01_14:10:51,0.00-10.00,sec,835,MBytes,700,Mbits/sec,595298/10,59523,pps
2018-10-01_14:11:02,0.00-10.00,sec,954,MBytes,800,Mbits/sec,680521/10,68027,pps
2018-10-01_14:11:13,0.00-10.00,sec,1.05,GBytes,900,Mbits/sec,765648/8,76530,pps
2018-10-01_14:11:24,0.00-10.00,sec,1.11,GBytes,956,Mbits/sec,813115/5859799,81315,pps
