date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,writeError,pps,ppsLabel
2018-10-01_15:34:55,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85030/11,8503,pps
2018-10-01_15:35:06,0.00-10.00,sec,238,MBytes,200,Mbits/sec,170067/10,17006,pps
2018-10-01_15:35:17,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255184/10,25510,pps
2018-10-01_15:35:28,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340138/10,34013,pps
2018-10-01_15:35:39,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425213/10,42516,pps
2018-10-01_15:35:50,0.00-10.00,sec,716,MBytes,600,Mbits/sec,510379/10,51020,pps
2018-10-01_15:36:01,0.00-10.00,sec,835,MBytes,700,Mbits/sec,595500/10,59523,pps
2018-10-01_15:36:12,0.00-10.00,sec,954,MBytes,800,Mbits/sec,680514/10,68027,pps
2018-10-01_15:36:23,0.00-10.00,sec,1.05,GBytes,900,Mbits/sec,765642/10,76530,pps
2018-10-01_15:36:34,0.00-10.00,sec,1.11,GBytes,957,Mbits/sec,813652/5670460,81340,pps
